Method,Family,Profile,Scope,K,Evidence,RunN,SelectedNMean,HitRateMean,HitRateSD,FoldMean,FoldSD
MLP,MLP,supervised,candidate_pool,150,FrozenLiteratureHoldout,3,150.0,0.03333333333333333,0.0,10.079166666666667,0.0
MLP,MLP,supervised,candidate_pool,150,IndependentAnyHit,3,150.0,0.3244444444444445,0.07897491397296381,1.846661437908497,0.4495066280014105
MLP,MLP,supervised,candidate_pool,150,IndependentStrongHit,3,150.0,0.024444444444444446,0.01018350154434631,3.9420740740740747,1.642259349051582
MLP,MLP,supervised,candidate_pool,150,PostHocNonMutationAnyHit,3,150.0,0.0911111111111111,0.0038490017945975057,1.4693185185185185,0.06207156894087573
MLP,MLP,supervised,candidate_pool,150,PostHocNonMutationStrongHit,3,150.0,0.0,0.0,,
MLP,MLP,supervised,global_then_filter,50,CPTACProteinSupport,3,13.0,0.0,0.0,0.0,0.0
MLP,MLP,supervised,global_then_filter,50,CPTACRecurrence,3,13.0,0.17826617826617827,0.031845668756397986,1.4869858111237422,0.2656368024887128
MLP,MLP,supervised,global_then_filter,50,DepMapCCRCCDependency,3,13.0,0.07722832722832723,0.005958248258834898,0.5968540688987973,0.04604793143169854
MLP,MLP,supervised,global_then_filter,50,DepMapCCRCCSelective,3,13.0,0.0,0.0,0.0,0.0
MLP,MLP,supervised,global_then_filter,50,FrozenLiteratureHoldout,3,13.0,0.23168498168498167,0.01787474477650472,70.05574633699634,5.404875951795609
MLP,MLP,supervised,global_then_filter,50,IndependentAnyHit,3,13.0,0.3327228327228327,0.024730926862672895,1.893780076133017,0.14076261666071935
MLP,MLP,supervised,global_then_filter,50,IndependentStrongHit,3,13.0,0.07722832722832723,0.005958248258834898,12.454354904354906,0.9608668358747748
MLP,MLP,supervised,global_then_filter,50,PostHocNonMutationAnyHit,3,13.0,0.23168498168498167,0.01787474477650472,3.7363064713064715,0.28826005076243216
MLP,MLP,supervised,global_then_filter,50,PostHocNonMutationStrongHit,3,13.0,0.0,0.0,,
MLP,MLP,supervised,global_then_filter,100,CPTACProteinSupport,3,33.0,0.0,0.0,0.0,0.0
MLP,MLP,supervised,global_then_filter,100,CPTACRecurrence,3,33.0,0.12980496206302658,0.03806174877204252,1.0827524249326252,0.31748748372265817
MLP,MLP,supervised,global_then_filter,100,DepMapCCRCCDependency,3,33.0,0.14113485081227017,0.011339966573761576,1.0907514508462668,0.08764018895185059
MLP,MLP,supervised,global_then_filter,100,DepMapCCRCCSelective,3,33.0,0.030377507796862633,0.0018444460740300946,3.3401450618459414,0.20280522968539966
MLP,MLP,supervised,global_then_filter,100,FrozenLiteratureHoldout,3,33.0,0.12151003118745053,0.007377784296120378,36.74159568030536,2.230857526539399
MLP,MLP,supervised,global_then_filter,100,IndependentAnyHit,3,33.0,0.2513149932504771,0.03092767748102557,1.4304258086421273,0.17603306312141376
MLP,MLP,supervised,global_then_filter,100,IndependentStrongHit,3,33.0,0.030377507796862633,0.0018444460740300946,4.8988794240407145,0.2974476702052531
MLP,MLP,supervised,global_then_filter,100,PostHocNonMutationAnyHit,3,33.0,0.15188753898431318,0.00922223037015046,2.4494397120203573,0.14872383510262657
MLP,MLP,supervised,global_then_filter,100,PostHocNonMutationStrongHit,3,33.0,0.0,0.0,,
MLP,MLP,supervised,global_then_filter,150,CPTACProteinSupport,3,51.666666666666664,0.03168598250565464,0.0073877854241528665,0.6387365973431548,0.14892544117521486
MLP,MLP,supervised,global_then_filter,150,CPTACRecurrence,3,51.666666666666664,0.2049830861306271,0.0744505038068729,1.7098416736206448,0.6210198920993986
MLP,MLP,supervised,global_then_filter,150,DepMapCCRCCDependency,3,51.666666666666664,0.1401449188334434,0.018540788457540917,1.0831008263837048,0.1432912692613146
MLP,MLP,supervised,global_then_filter,150,DepMapCCRCCSelective,3,51.666666666666664,0.019811245221081287,0.0037419619617196833,2.178336463172529,0.4114457266090871
MLP,MLP,supervised,global_then_filter,150,FrozenLiteratureHoldout,3,51.666666666666664,0.07924498088432515,0.014967847846878733,23.96170109489782,4.525902992699957
MLP,MLP,supervised,global_then_filter,150,IndependentAnyHit,3,51.666666666666664,0.30403931223603353,0.057836415296247716,1.7305202265858002,0.32919126729793696
MLP,MLP,supervised,global_then_filter,150,IndependentStrongHit,3,51.666666666666664,0.03168598250565464,0.0073877854241528665,5.109892778745238,1.191403529401719
MLP,MLP,supervised,global_then_filter,150,PostHocNonMutationAnyHit,3,51.666666666666664,0.1307422086110611,0.014446328141200258,2.108436017534378,0.2329711184904227
MLP,MLP,supervised,global_then_filter,150,PostHocNonMutationStrongHit,3,51.666666666666664,0.0,0.0,,
