Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
ERF	3.893939393939394	2.672308029730401e-208	-0.053117435	1.0
TMEM189-UBE2V1	5.0	5.73731037415242e-58	0.083922625	1.0
BMP15	4.893939393939394	1.4942820346636513e-69	0.06567845	1.0
AKAP8	4.2727272727272725	3.653471191512652e-151	-0.14411369	1.0
MED13L	7.4393939393939394	1.0	0.11491429	1.0
NUPL2	15.0	1.0	0.3959888	4.782306568756925e-228
GABPB1	4.787878787878788	6.088748728568496e-82	-0.007513598	1.0
S1PR1	6.257575757575758	1.0	0.004001857	1.0
TOM1L1	7.0	1.0	0.1362536	1.0
CD2BP2	4.515151515151516	5.4796647160484944e-117	0.06189817	1.0
G2E3	5.7727272727272725	0.00012696930978608074	0.24531792	1.2267184397589122e-19
XRN1	5.96969696969697	0.4436187976085343	0.40514055	3.480980447980619e-244
PKD2	15.0	1.0	-0.17777456	1.0
SNRNP70	3.8181818181818183	4.652961405653735e-220	-0.15096721	1.0
RALBP1	4.106060606060606	7.365278323712362e-176	-0.12833452	1.0
MEF2A	3.727272727272727	2.9381361954994715e-234	0.39172778	1.4101367738954738e-220
KARS	4.878787878787879	2.82563781485433e-71	0.17938997	1.0
OSR1	4.484848484848484	4.014635475591554e-121	0.19972867	0.4816657275967802
BBS2	4.7727272727272725	8.965969538698311e-84	-0.14926368	1.0
STXBP4	5.287878787878788	3.1483437759882676e-31	-0.09106932	1.0
KIDINS220	4.53030303030303	6.196157745775322e-115	0.24453597	4.383627137963331e-19
NRXN1	5.636363636363637	1.503204854006047e-09	0.49149784	0.0
SIRT1	3.787878787878788	8.678073467218118e-225	0.44855362	1.33e-321
COPS7B	5.5606060606060606	3.572196729675238e-13	0.05843886	1.0
COL4A1	7.0606060606060606	1.0	-0.15128796	1.0
MYO9A	4.666666666666667	5.436100284867346e-97	0.030426748	1.0
GGT7	15.0	1.0	0.4331632	4.2812184357376784e-294
CD28	4.5	4.739860753386833e-119	0.39700907	7.711717424580322e-230
TIMP3	7.590909090909091	1.0	0.17571321	1.0
LAIR1	4.681818181818182	4.6176288953559986e-95	0.2651124	3.551905228852777e-36
FST	7.242424242424242	1.0	-0.0029880027	1.0
PPFIBP1	4.96969696969697	3.453316756337159e-61	0.18015239	1.0
MSH3	4.848484848484849	9.105895800645387e-75	0.59663945	0.0
FERMT1	5.515151515151516	1.2036111894347524e-15	0.34707516	4.018986503212522e-145
IFIT3	15.0	1.0	-0.06999006	1.0
MYO6	4.5606060606060606	7.325333522650586e-111	0.023770235	1.0
ATP1B2	7.075757575757576	1.0	0.032297023	1.0
TREX2	4.984848484848484	1.4401608249225746e-59	0.1398051	1.0
SNCAIP	5.166666666666667	1.3342906577176216e-41	0.13862461	1.0
SPHK2	4.833333333333333	1.5440304108976452e-76	0.45382184	0.0
ZC3H7A	7.545454545454546	1.0	0.22361717	2.783211242107074e-07
ACIN1	6.2272727272727275	1.0	0.36475408	3.1539269449350216e-174
PPFIBP2	5.515151515151516	1.2036111894347524e-15	0.39773303	4.108384543184213e-231
GMNN	4.909090909090909	7.610370895101997e-68	0.0385536	1.0
UNC45A	4.757575757575758	1.2813048174903688e-85	0.23925425	1.4817998731775672e-15
CHRNG	15.0	1.0	-0.07079893	1.0
CHRND	15.0	1.0	-0.07079893	1.0
GPR135	7.303030303030303	1.0	-0.0694015	1.0
MXD1	4.136363636363637	2.6371604364900228e-171	0.17125578	1.0
HOOK3	6.5606060606060606	1.0	0.55755997	0.0
EPHB3	4.7727272727272725	8.965969538698311e-84	-0.17131771	1.0
CDH23	8.121212121212121	1.0	0.6975077	0.0
ZBTB12	4.833333333333333	1.5440304108976452e-76	0.4368617	1.047063767302742e-300
HIST3H2BB	4.606060606060606	7.605891566940396e-105	0.19197947	1.0
CNGA2	5.03030303030303	8.064061631179219e-55	-0.12488356	1.0
CDKN2D	4.606060606060606	7.605891566940396e-105	0.22316949	4.293216048224856e-07
FBXO11	3.9696969696969697	1.2614138619558587e-196	0.103797436	1.0
